0          References for Cross Section of OHt       Total   
(Theoretical)                                                                   
Lambda = 939.30-1907.00 A                                                       
   Vandishoeck, E.                                                              
   Photodissociation and excitation of interstellar molecules.                  
                                                                                
0          References for Cross Section of OHt       O/H     
                                                                                
0          References for Cross Section of OHt       O1S/H   
                                                                                
0          References for Cross Section of OHt       OH+     
                                                                                
0 Branching ratio for OHt      Total        4 branches
 Lambda  Total   O/H      O1S/H    OH+      O1D/H   
 2444.1 1.05E-19 1.05E-19 0.00E+00 0.00E+00 3.13E-23
 2445.1 5.00E-25 5.00E-25 0.00E+00 0.00E+00 1.48E-28
 2446.5 5.00E-25 5.00E-25 0.00E+00 0.00E+00 1.48E-28
 2447.5 2.44E-19 2.44E-19 0.00E+00 0.00E+00 7.20E-23
 2448.3 1.00E-20 1.00E-20 0.00E+00 0.00E+00 2.94E-24
 2449.2 1.51E-19 1.51E-19 0.00E+00 0.00E+00 4.43E-23
 2450.2 5.00E-25 5.00E-25 0.00E+00 0.00E+00 1.46E-28
 2602.1 3.00E-25 3.00E-25 0.00E+00 0.00E+00 5.21E-29
 2603.1 7.32E-20 7.32E-20 0.00E+00 0.00E+00 1.26E-23
 2604.1 3.00E-25 3.00E-25 0.00E+00 0.00E+00 5.16E-29
 2608.3 3.00E-25 3.00E-25 0.00E+00 0.00E+00 5.06E-29
 2609.3 6.43E-19 6.43E-19 0.00E+00 0.00E+00 1.08E-22
 2610.3 3.00E-25 3.00E-25 0.00E+00 0.00E+00 5.01E-29
 2612.4 3.00E-25 3.00E-25 0.00E+00 0.00E+00 4.96E-29
 2613.4 1.49E-18 1.49E-18 0.00E+00 0.00E+00 2.45E-22
 2614.4 3.00E-25 3.00E-25 0.00E+00 0.00E+00 4.92E-29
 2614.5 3.00E-25 3.00E-25 0.00E+00 0.00E+00 4.91E-29
 2615.5 9.21E-19 9.21E-19 0.00E+00 0.00E+00 1.50E-22
 2616.5 3.00E-25 3.00E-25 0.00E+00 0.00E+00 4.87E-29
 2823.0 1.00E-25 0.00E+00 9.99E-26 0.00E+00 1.00E-28
 5114.0 1.00E-30 0.00E+00 9.99E-31 0.00E+00 1.00E-33
 5114.0 1.00E-35 0.00E+00 1.00E-35 0.00E+00 0.00E+00
61320.0 1.00E-35 0.00E+00 1.00E-35 0.00E+00 0.00E+00
